Month,Consumption
2016-01,24273
2016-02,25715
2016-03,38543
2016-04,40524
2016-05,31222
2016-06,44550
2016-07,51840
2016-08,45107
2016-09,34726
2016-10,45521
2016-11,58430
2016-12,51695
2017-01,40670
2017-02,61079
2017-03,44047
2017-04,47483
2017-05,59941
2017-06,68307
2017-07,52362
2017-08,71088
2017-09,65375
2017-10,96300
2017-11,88944
2017-12,70202
2018-01,100494
2018-02,72048
2018-03,73632
2018-04,104952
2018-05,107256
2018-06,140371
2018-07,176256
2018-08,173100
2018-09,191587
2018-10,219078
2018-11,185476
2018-12,180000
2019-01,227100
2019-02,161978
2019-03,209988
2019-04,173619
2019-05,183384
2019-06,177592
2019-07,195708
2019-08,168236
2019-09,198276
2019-10,193684
2019-11,143146
2019-12,92610
2020-01,157332
2020-02,169350
2020-03,214088
2020-04,160044
2020-05,164436
2020-06,151882
2020-07,176952
2020-08,143792
2020-09,150684
2020-10,173128
2020-11,185992
2020-12,168714
2021-01,207850
2021-02,173846
2021-03,233026
2021-04,198901
2021-05,186547
2021-06,215852
2021-07,251042
2021-08,231757
2021-09,213960
2021-10,207174
2021-11,259472
2021-12,182664
2022-01,233358
2022-02,198101
2022-03,263921
2022-04,225746
2022-05,225671
2022-06,223148
2022-07,235000
2022-08,250294
2022-09,225840
2022-10,231252
2022-11,257712
2022-12,168028
2023-01,245340
2023-02,223510
2023-03,273144
2023-04,230553
2023-05,207900
2023-06,236622
2023-07,249717
2023-08,277645
2023-09,239426
2023-10,231611
2023-11,228657
2023-12,143822
2024-01,220267
2024-02,232867
2024-03,247352
2024-04,245280
2024-05,234904
2024-06,242626
2024-07,250140
2024-08,236926
2024-09,243497
2024-10,243840
2024-11,209420
2024-12,138180
2025-01,217884
2025-02,244842
2025-03,223690
2025-04,243796
2025-05,209386
2025-06,245472
2025-07,313294
2025-08,233520
2025-09,246504
2025-10,257970
2025-11,245918
2025-12,198698
2026-01,232937
2026-02,214238
2026-03,269851
